School,AccountDesc,Total
"Beethoven, Ludwig Van Elementary School",TransTrvl Field Trip,11810
"Beethoven, Ludwig Van Elementary School",Telecom Data Lines,99.99
"Beethoven, Ludwig Van Elementary School",Equipment Computer/Desktop,14509
"Beethoven, Ludwig Van Elementary School",Cont Serv Other,2874
"Beethoven, Ludwig Van Elementary School",EducSup Instructional Other,136357.89
"Kennedy, John F Elementary School",MiscSup Other,5726.85
"Kennedy, John F Elementary School",TransTrvl Field Trip,21560
"Kennedy, John F Elementary School",Current Other Charges,1463.62
"Kennedy, John F Elementary School",Telecom Data Lines,149
"Kennedy, John F Elementary School",ContServ Dependent Contrctr,50445
"Kennedy, John F Elementary School",EducSup Instructional Textbook,30855.17
"Kennedy, John F Elementary School",Food  Catering,20603.9
"Kennedy, John F Elementary School",Equipment Computer/Desktop,82167.71
"Kennedy, John F Elementary School",Cont Serv Other,364680.7
"Kennedy, John F Elementary School",EducSup Instructional Other,356653.97
"Philbrick, John D. Elementary School",TransTrvl Field Trip,3350
"Philbrick, John D. Elementary School",Telecom Data Lines,149
"Philbrick, John D. Elementary School",ContServ Dependent Contrctr,19196.5
"Philbrick, John D. Elementary School",EducSup Instructional Textbook,39684.37
"Philbrick, John D. Elementary School",Equipment Computer/Desktop,52223.95
"Philbrick, John D. Elementary School",Cont Serv Other,48549
"Philbrick, John D. Elementary School",EducSup Instructional Other,23321.42
Community Academy,TransTrvl Field Trip,1618
Community Academy,EducSup Instructional Textbook,40782.82
Community Academy,Food  Catering,8658.58
Community Academy,Equipment Computer/Desktop,37637.85
Community Academy,Cont Serv Other,10417.4
Community Academy,EducSup Instructional Other,49423.94
Mildred Avenue K-8,TransTrvl Field Trip,12710
Mildred Avenue K-8,Equipment Computer Other,24692.5
Mildred Avenue K-8,Food  Catering,6568.34
Mildred Avenue K-8,Equipment Computer/Desktop,8795
Mildred Avenue K-8,Cont Serv Other,41390.48
Mildred Avenue K-8,EducSup Instructional Other,182772.99
"Kenny, Thomas J. Elementary School",TransTrvl Field Trip,2679.8
"Kenny, Thomas J. Elementary School",Equipment Photocopy,825
"Kenny, Thomas J. Elementary School",ContServ Dependent Contrctr,5000
"Kenny, Thomas J. Elementary School",Equipment Computer/Desktop,4864
"Kenny, Thomas J. Elementary School",Cont Serv Other,148837
"Kenny, Thomas J. Elementary School",EducSup Instructional Other,143952.18
West Roxbury Academy,TransTrvl Field Trip,18289.15
West Roxbury Academy,Equipment Computer Other,21971.57
West Roxbury Academy,Telecom Data Lines,4.95
West Roxbury Academy,TransTrvl Emp Out Of Town,8504.37
West Roxbury Academy,ContServ Dependent Contrctr,22999
West Roxbury Academy,EducSup Instructional Textbook,9957.06
West Roxbury Academy,Food  Catering,8602.96
West Roxbury Academy,Equipment Computer/Desktop,40842.62
West Roxbury Academy,Cont Serv Other,67429
West Roxbury Academy,EducSup Instructional Other,287836.89
"Perkins, Michael J. Elementary School",MiscSup Other,29543.33
"Perkins, Michael J. Elementary School",TransTrvl Field Trip,4001.5
"Perkins, Michael J. Elementary School",Equipment Computer Other,30320
"Perkins, Michael J. Elementary School",Telecom Data Lines,99.99
"Perkins, Michael J. Elementary School",TransTrvl Emp Out Of Town,490
"Perkins, Michael J. Elementary School",ContServ Dependent Contrctr,3497.71
"Perkins, Michael J. Elementary School",Office Postage,444
"Perkins, Michael J. Elementary School",Food  Catering,348.7
"Perkins, Michael J. Elementary School",Equipment Computer/Desktop,10752.68
"Perkins, Michael J. Elementary School",Cont Serv Other,28318.92
"Perkins, Michael J. Elementary School",EducSup Instructional Other,97820
Fenway High School,Equipment Photocopy,3290
Fenway High School,Telecom Data Lines,149
Fenway High School,EducSup Instructional Textbook,7478.01
Fenway High School,Equipment Instructional,3320
Fenway High School,Cont Serv Other,73227.99
Fenway High School,EducSup Instructional Other,121497.87
"O'Bryant, John D. School of Mathematics & Science",MiscSup Other,5304.2
"O'Bryant, John D. School of Mathematics & Science",Equipment Computer Other,43175.33
"O'Bryant, John D. School of Mathematics & Science",MiscSup Sm Tools/Instruments,25952
"O'Bryant, John D. School of Mathematics & Science",Furniture Classroom,14061.8
"O'Bryant, John D. School of Mathematics & Science",Telecom Data Lines,149
"O'Bryant, John D. School of Mathematics & Science",ContServ Dependent Contrctr,115283.5
"O'Bryant, John D. School of Mathematics & Science",EducSup Instructional Textbook,1339.6
"O'Bryant, John D. School of Mathematics & Science",Equipment Instructional,7560
"O'Bryant, John D. School of Mathematics & Science",Food  Catering,1948.7
"O'Bryant, John D. School of Mathematics & Science",Equipment Computer/Desktop,76115.39
"O'Bryant, John D. School of Mathematics & Science",Cont Serv Other,73663.19
"O'Bryant, John D. School of Mathematics & Science",EducSup Instructional Other,460527.45
"Quincy, Josiah Upper School",MiscSup Other,3199.97
"Quincy, Josiah Upper School",TransTrvl Field Trip,9495
"Quincy, Josiah Upper School",Equipment Computer Other,9708.1
"Quincy, Josiah Upper School",TransTrvl Emp Out Of Town,28748.86
"Quincy, Josiah Upper School",Cont Serv Other,1450883.88
"Quincy, Josiah Upper School",EducSup Instructional Other,71489.61
Higginson Elementary School,Cont Serv Other,37577.98
Higginson Elementary School,EducSup Instructional Other,90503.91
"Tobin, Maurice J. K-8",TransTrvl Field Trip,2380
"Tobin, Maurice J. K-8",TransTrvl Emp Out Of Town,328.99
"Tobin, Maurice J. K-8",EducSup Instructional Textbook,9596.68
"Tobin, Maurice J. K-8",Food  Catering,1000
"Tobin, Maurice J. K-8",Cont Serv Other,146732
"Tobin, Maurice J. K-8",EducSup Instructional Other,195345.62
UP Academy Holland,Cont Serv Other,1581450.29
"Hernandez, Rafael K-8",MiscSup Other,342.15
"Hernandez, Rafael K-8",Cont Serv Other,8810
"Hernandez, Rafael K-8",Equipment Computer/Desktop,6102.5
"Hernandez, Rafael K-8",EducSup Instructional Other,198987.72
Mather Elementary School,Equipment Computer Other,3730.92
Mather Elementary School,Telecom Data Lines,99.99
Mather Elementary School,Equipment Computer/Desktop,5585.03
Mather Elementary School,Cont Serv Other,295
Mather Elementary School,EducSup Instructional Other,135427.35
"Haley K - 8, Dennis",TransTrvl Field Trip,10000
"Haley K - 8, Dennis",Equipment Computer Other,6567.5
"Haley K - 8, Dennis",ContServ Dependent Contrctr,33916
"Haley K - 8, Dennis",EducSup Instructional Textbook,13782.72
"Haley K - 8, Dennis",Equipment Computer/Desktop,9888
"Haley K - 8, Dennis",Cont Serv Other,490658.9
"Haley K - 8, Dennis",EducSup Instructional Other,236479.54
"Adams, Samuel Elementary School",TransTrvl Field Trip,4040
"Adams, Samuel Elementary School",Equipment Photocopy,4830
"Adams, Samuel Elementary School",ContServ Dependent Contrctr,7332.6
"Adams, Samuel Elementary School",Equipment Computer/Desktop,18336.23
"Adams, Samuel Elementary School",Cont Serv Other,114303.89
"Adams, Samuel Elementary School",EducSup Instructional Other,136703.59
New Mission High School,MiscSup Other,220.3
New Mission High School,Equipment Computer Other,1978
New Mission High School,ContServ Advertising,300
New Mission High School,ContServ  Printing/Binding,1800
New Mission High School,EducSup Instructional Textbook,3906.28
New Mission High School,Equipment Computer/Desktop,13701.72
New Mission High School,Cont Serv Other,598394.81
New Mission High School,EducSup Instructional Other,152880.34
Clap Innovation School,MiscSup Other,599
Clap Innovation School,TransTrvl Field Trip,1763.06
Clap Innovation School,Equipment Computer Other,17435
Clap Innovation School,EducSup Audio Visual/Library,56.03
Clap Innovation School,EducSup Instructional Textbook,12519.61
Clap Innovation School,Food  Catering,346.45
Clap Innovation School,Equipment Computer/Desktop,45105.7
Clap Innovation School,Cont Serv Other,110694
Clap Innovation School,EducSup Instructional Other,139903.16
TechBoston Academy,TransTrvl Field Trip,60345.92
TechBoston Academy,Equipment Computer Other,430580.76
TechBoston Academy,Telecom Data Lines,2022.35
TechBoston Academy,ContServ Dependent Contrctr,342373.54
TechBoston Academy,ContServ  Printing/Binding,736
TechBoston Academy,L/P Debt Principal,281004
TechBoston Academy,EducSup Instructional Textbook,154526.3
TechBoston Academy,Food  Catering,396.56
TechBoston Academy,Equipment Computer/Desktop,715852
TechBoston Academy,Cont Serv Other,415227.97
TechBoston Academy,EducSup Instructional Other,519006.95
"Channing, William E. Elementary School",MiscSup Other,756
"Channing, William E. Elementary School",TransTrvl Field Trip,520
"Channing, William E. Elementary School",Equipment Computer Other,15483
"Channing, William E. Elementary School",Equipment Computer/Desktop,16731
"Channing, William E. Elementary School",Cont Serv Other,238245
"Channing, William E. Elementary School",EducSup Instructional Other,196659.93
"Lyndon, Patrick K-8",TransTrvl Field Trip,280
"Lyndon, Patrick K-8",Telecom Data Lines,199.98
"Lyndon, Patrick K-8",ContServ Dependent Contrctr,44000
"Lyndon, Patrick K-8",EducSup Instructional Textbook,26703.36
"Lyndon, Patrick K-8",Equipment Computer/Desktop,62110.82
"Lyndon, Patrick K-8",Cont Serv Other,319095.6
"Lyndon, Patrick K-8",EducSup Instructional Other,183139.87
"O'Donnell, Hugh R. Elementary School",TransTrvl Field Trip,13936.78
"O'Donnell, Hugh R. Elementary School",Telecom Data Lines,199
"O'Donnell, Hugh R. Elementary School",Equipment Computer/Desktop,4001
