School,Year,Month,Amount
"Beethoven, Ludwig Van Elementary School",2012,9,781.34
"Beethoven, Ludwig Van Elementary School",2014,4,974
"Beethoven, Ludwig Van Elementary School",2013,7,2003.79
"Beethoven, Ludwig Van Elementary School",2013,3,143
"Beethoven, Ludwig Van Elementary School",2014,2,1747.16
"Beethoven, Ludwig Van Elementary School",2014,10,1289.79
"Beethoven, Ludwig Van Elementary School",2016,1,2093.76
"Beethoven, Ludwig Van Elementary School",2014,11,1229.44
"Beethoven, Ludwig Van Elementary School",2012,3,4036.48
"Beethoven, Ludwig Van Elementary School",2016,7,1468.89
"Beethoven, Ludwig Van Elementary School",2013,4,626.43
"Beethoven, Ludwig Van Elementary School",2012,1,5282.72
"Beethoven, Ludwig Van Elementary School",2017,7,9069.59
"Beethoven, Ludwig Van Elementary School",2015,6,1875.33
"Beethoven, Ludwig Van Elementary School",2016,2,2836.98
"Beethoven, Ludwig Van Elementary School",2012,5,9514.83
"Beethoven, Ludwig Van Elementary School",2016,10,3690.25
"Beethoven, Ludwig Van Elementary School",2015,7,675.05
"Beethoven, Ludwig Van Elementary School",2016,4,16101
"Beethoven, Ludwig Van Elementary School",2012,11,1957.48
"Beethoven, Ludwig Van Elementary School",2013,9,420
"Beethoven, Ludwig Van Elementary School",2015,12,2523.67
"Beethoven, Ludwig Van Elementary School",2013,2,2957.51
"Beethoven, Ludwig Van Elementary School",2012,2,2337.08
"Beethoven, Ludwig Van Elementary School",2015,11,1876
"Beethoven, Ludwig Van Elementary School",2012,4,6637.62
"Beethoven, Ludwig Van Elementary School",2013,5,9877.88
"Beethoven, Ludwig Van Elementary School",2014,8,419.17
"Beethoven, Ludwig Van Elementary School",2013,1,1185.95
"Beethoven, Ludwig Van Elementary School",2016,6,9534.28
"Beethoven, Ludwig Van Elementary School",2012,12,1425
"Beethoven, Ludwig Van Elementary School",2014,5,846.62
"Beethoven, Ludwig Van Elementary School",2015,5,228.86
"Beethoven, Ludwig Van Elementary School",2015,4,9800.17
"Beethoven, Ludwig Van Elementary School",2015,3,3057.5
"Beethoven, Ludwig Van Elementary School",2012,6,9802.22
"Beethoven, Ludwig Van Elementary School",2013,8,763.5
"Beethoven, Ludwig Van Elementary School",2014,7,1720.92
"Beethoven, Ludwig Van Elementary School",2016,5,11245.35
"Beethoven, Ludwig Van Elementary School",2016,12,2040.19
"Beethoven, Ludwig Van Elementary School",2012,10,1240
"Beethoven, Ludwig Van Elementary School",2014,6,425.72
"Beethoven, Ludwig Van Elementary School",2017,8,3273.14
"Beethoven, Ludwig Van Elementary School",2015,10,1083.83
"Beethoven, Ludwig Van Elementary School",2016,9,107.8
"Beethoven, Ludwig Van Elementary School",2013,11,1376.75
"Beethoven, Ludwig Van Elementary School",2014,12,878.07
"Beethoven, Ludwig Van Elementary School",2014,3,6514.26
"Beethoven, Ludwig Van Elementary School",2015,1,900.1
"Beethoven, Ludwig Van Elementary School",2015,8,520.84
"Beethoven, Ludwig Van Elementary School",2012,7,53.9
"Beethoven, Ludwig Van Elementary School",2013,6,53.97
"Beethoven, Ludwig Van Elementary School",2014,9,147
"Beethoven, Ludwig Van Elementary School",2013,10,2383.7
"Beethoven, Ludwig Van Elementary School",2014,1,595
"Kennedy, John F Elementary School",2012,9,74994.95
"Kennedy, John F Elementary School",2014,4,16703.24
"Kennedy, John F Elementary School",2013,7,4741.71
"Kennedy, John F Elementary School",2016,11,11971.94
"Kennedy, John F Elementary School",2013,3,29508.97
"Kennedy, John F Elementary School",2014,2,25310.51
"Kennedy, John F Elementary School",2014,10,6187.49
"Kennedy, John F Elementary School",2016,8,700
"Kennedy, John F Elementary School",2016,1,6355.57
"Kennedy, John F Elementary School",2014,11,3888.52
"Kennedy, John F Elementary School",2012,3,12487.06
"Kennedy, John F Elementary School",2016,7,13146.9
"Kennedy, John F Elementary School",2013,4,62676.33
"Kennedy, John F Elementary School",2012,1,9449.7
"Kennedy, John F Elementary School",2017,7,4370.53
"Kennedy, John F Elementary School",2015,6,19331.8
"Kennedy, John F Elementary School",2016,2,5924.55
"Kennedy, John F Elementary School",2016,3,33811.23
"Kennedy, John F Elementary School",2012,5,8787.04
"Kennedy, John F Elementary School",2016,10,16454.48
"Kennedy, John F Elementary School",2015,7,2814.26
"Kennedy, John F Elementary School",2016,4,34297.45
"Kennedy, John F Elementary School",2012,11,12246.45
"Kennedy, John F Elementary School",2013,9,8821.04
"Kennedy, John F Elementary School",2015,12,18216.4
"Kennedy, John F Elementary School",2013,2,20244.18
"Kennedy, John F Elementary School",2012,2,38729.74
"Kennedy, John F Elementary School",2015,2,4799.44
"Kennedy, John F Elementary School",2012,8,1998.5
"Kennedy, John F Elementary School",2015,11,7588.87
"Kennedy, John F Elementary School",2012,4,9451.82
"Kennedy, John F Elementary School",2013,5,30415.18
"Kennedy, John F Elementary School",2014,8,7370
"Kennedy, John F Elementary School",2013,1,45840.41
"Kennedy, John F Elementary School",2016,6,27323.22
"Kennedy, John F Elementary School",2012,12,11277.21
"Kennedy, John F Elementary School",2014,5,5476.18
"Kennedy, John F Elementary School",2015,5,12517.68
"Kennedy, John F Elementary School",2015,4,4742.9
"Kennedy, John F Elementary School",2015,3,9498.66
"Kennedy, John F Elementary School",2012,6,11542
"Kennedy, John F Elementary School",2013,8,66548.47
"Kennedy, John F Elementary School",2014,7,17841.04
"Kennedy, John F Elementary School",2016,5,9204.5
"Kennedy, John F Elementary School",2016,12,8936.67
"Kennedy, John F Elementary School",2012,10,8833.12
"Kennedy, John F Elementary School",2014,6,17313.48
"Kennedy, John F Elementary School",2017,8,14130.08
"Kennedy, John F Elementary School",2015,10,4481.58
"Kennedy, John F Elementary School",2016,9,7070.86
"Kennedy, John F Elementary School",2013,11,646
"Kennedy, John F Elementary School",2013,12,14178.66
"Kennedy, John F Elementary School",2015,9,1508.34
"Kennedy, John F Elementary School",2014,12,6061.72
"Kennedy, John F Elementary School",2014,3,6770.36
"Kennedy, John F Elementary School",2015,1,14898.15
"Kennedy, John F Elementary School",2015,8,670.74
"Kennedy, John F Elementary School",2012,7,7542.3
"Kennedy, John F Elementary School",2013,6,11586.79
"Kennedy, John F Elementary School",2014,9,15246.19
"Kennedy, John F Elementary School",2013,10,1456.6
"Kennedy, John F Elementary School",2014,1,7366.16
"Philbrick, John D. Elementary School",2012,9,7205.14
"Philbrick, John D. Elementary School",2014,4,1123.93
"Philbrick, John D. Elementary School",2013,7,9246.82
"Philbrick, John D. Elementary School",2016,11,1601.64
"Philbrick, John D. Elementary School",2013,3,2013.67
"Philbrick, John D. Elementary School",2014,2,20541.43
"Philbrick, John D. Elementary School",2014,10,1019.87
"Philbrick, John D. Elementary School",2016,1,171.06
