School,AccountDesc,Amount
"Beethoven, Ludwig Van Elementary School",Cont Serv Other,0.008896333
"Kennedy, John F Elementary School",Cont Serv Other,1.128852154
"Philbrick, John D. Elementary School",Cont Serv Other,0.150281173
Community Academy,Cont Serv Other,0.032246577
Mildred Avenue K-8,Cont Serv Other,0.128122307
"Kenny, Thomas J. Elementary School",Cont Serv Other,0.460718014
West Roxbury Academy,Cont Serv Other,0.208723335
"Perkins, Michael J. Elementary School",Cont Serv Other,0.0876599
Fenway High School,Cont Serv Other,0.226673839
"O'Bryant, John D. School of Mathematics & Science",Cont Serv Other,0.22802098
"Quincy, Josiah Upper School",Cont Serv Other,4.491143602
Higginson Elementary School,Cont Serv Other,0.11632089
"Tobin, Maurice J. K-8",Cont Serv Other,0.454202085
UP Academy Holland,Cont Serv Other,4.895305855
"Hernandez, Rafael K-8",Cont Serv Other,0.027270945
Mather Elementary School,Cont Serv Other,9.13E-04
"Haley K - 8, Dennis",Cont Serv Other,1.518811815
"Adams, Samuel Elementary School",Cont Serv Other,0.353822378
New Mission High School,Cont Serv Other,1.852303316
Clap Innovation School,Cont Serv Other,0.342648131
TechBoston Academy,Cont Serv Other,1.285318878
"Channing, William E. Elementary School",Cont Serv Other,0.737476322
"Lyndon, Patrick K-8",Cont Serv Other,0.987745596
"O'Donnell, Hugh R. Elementary School",Cont Serv Other,0.470432043
"Timilty, James P. Middle School",Cont Serv Other,0.459973186
Madison Park Technical Vocational High School,Cont Serv Other,1.331717436
"Lyon, Mary K-8",Cont Serv Other,0.027048073
"Alighieri, Dante Montessori School",Cont Serv Other,0.054263145
"Condon, James F. Elementary School",Cont Serv Other,0.091687333
Brighton High School,Cont Serv Other,0.247852436
"Burke, Jeremiah E. High School",Cont Serv Other,2.408436456
"Edison, Thomas A. K-8",Cont Serv Other,0.81869251
Orchard Gardens K-8,Cont Serv Other,5.04247427
"Grew, Henry Elementary School",Cont Serv Other,0.359724912
"Conley, George H. Elementary School",Cont Serv Other,0.007192162
"Tynan, Joseph P. Elementary School",Cont Serv Other,0.163169155
Mission Hill K-8,Cont Serv Other,2.340241665
Harvard/Kent Elementary School,Cont Serv Other,0.2726785
Boston Community Leadership Academy,Cont Serv Other,1.141779634
"Bates, Phineas Elementary School",Cont Serv Other,0.525788657
"Mason, Samuel W. Elementary School",Cont Serv Other,1.9188122
West Zone Early Learning Center,Cont Serv Other,0.581200804
Boston Arts Academy,Cont Serv Other,0.906967879
"King, Martin Luther, Jr K-8",Cont Serv Other,0.204272042
"Blackstone, William Elementary School",Cont Serv Other,1.905289339
Mattahunt Elementary School,Cont Serv Other,1.596081145
"Frederick, Lilla G. Middle School",Cont Serv Other,2.001985333
"Dever, Paul A. Elementary School",Cont Serv Other,2.490432017
"Irving, Washington Middle School",Cont Serv Other,2.47864484
"Lyon, Mary High School",Cont Serv Other,0.671913688
East Boston Early Education Center,Cont Serv Other,0.128287975
Boston Latin School,Cont Serv Other,0.367242005
"Otis, James Elementary School",Cont Serv Other,0.217799731
Charlestown High School,Cont Serv Other,1.902876681
"Muniz, Margarita Academy",Cont Serv Other,0.856863878
"Everett, Edwards Elementary School",Cont Serv Other,0.154153585
"English High, The",Cont Serv Other,1.446713441
Jackson/Mann K-8,Cont Serv Other,0.258894322
Rogers Middle School,Cont Serv Other,0.072376842
"Hennigan, James W. K-8",Cont Serv Other,0.229721437
Boston International Newcomers Academy,Cont Serv Other,1.016075589
"Mozart, Wolfgang A. Elementary School",Cont Serv Other,0.451023983
Baldwin Early Learning Pilot Academy,Cont Serv Other,8.018468721
"Bradley, Manassah E. Elementary School",Cont Serv Other,0.124824163
Urban Science Academy,Cont Serv Other,0.27075969
"Trotter, William Monroe K-8",Cont Serv Other,2.190611622
Greater Egleston Community High School,Cont Serv Other,0.128894065
"Ellis, David A. Elementary School",Cont Serv Other,0.134958182
"Sumner, Charles Elementary School",Cont Serv Other,0.484667538
"Quincy, Josiah Elementary School",Cont Serv Other,0.50447225
UP Academy Boston,Cont Serv Other,3.056735146
"Guild, Curtis Elementary School",Cont Serv Other,0.756302746
Lee Academy at the Fifield,Cont Serv Other,1.4399747
"Greenwood, Sarah K-8",Cont Serv Other,0.250251753
Boston Green Academy,Cont Serv Other,1.091371071
Dudley Street Neighborhood School,Cont Serv Other,0.064497798
Boston Adult Technical Academy,Cont Serv Other,0.394941175
East Boston High School,Cont Serv Other,2.033438546
"Kennedy, Patrick Elementary School",Cont Serv Other,0.107768059
"Lee, Joseph K-8",Cont Serv Other,0.550154953
"Hale, Nathan Elementary School",Cont Serv Other,0.331722326
Haynes Early Education Center,Cont Serv Other,0.339930849
"Russell, William E. Elementary School",Cont Serv Other,0.080599419
"Taylor, Charles H. Elementary School",Cont Serv Other,0.057977844
Higginson/Lewis K-8,Cont Serv Other,0.712619397
"McCormack, John W Middle School",Cont Serv Other,1.199048093
"Murphy, Richard K-8",Cont Serv Other,0.195025953
"McKay, Donald K-8",Cont Serv Other,0.611197296
Ellison/Parks Early Education School,Cont Serv Other,0.059979736
Gardner Pilot Academy K-8,Cont Serv Other,2.377540921
"Greenwood, Elihu Leadership Academy",Cont Serv Other,0.955628501
"Hurley, Joseph K-8",Cont Serv Other,0.242993101
"Mendell, Ellis Elementary School",Cont Serv Other,0.891063439
UP Academy Dorchester,Cont Serv Other,6.080201287
"Chittick, James J. Elementary School",Cont Serv Other,0.297627855
"Edwards, Clarence R. Middle School",Cont Serv Other,1.612460087
Dearborn STEM Academy,Cont Serv Other,2.169714432
"Umana Academy, Mario K-8",Cont Serv Other,1.116874234
"Manning, Joseph P. Elementary School",Cont Serv Other,0.720445137
"Kennedy, John F Elementary School",EducSup Instructional Textbook,0.773685293
"Philbrick, John D. Elementary School",EducSup Instructional Textbook,0.995075166
Community Academy,EducSup Instructional Textbook,1.022618512
West Roxbury Academy,EducSup Instructional Textbook,0.249670667
Fenway High School,EducSup Instructional Textbook,0.187509139
"O'Bryant, John D. School of Mathematics & Science",EducSup Instructional Textbook,0.033590119
"Tobin, Maurice J. K-8",EducSup Instructional Textbook,0.240634233
"Haley K - 8, Dennis",EducSup Instructional Textbook,0.345598088
New Mission High School,EducSup Instructional Textbook,0.097948946
Clap Innovation School,EducSup Instructional Textbook,0.313925936
TechBoston Academy,EducSup Instructional Textbook,3.874706432
"Lyndon, Patrick K-8",EducSup Instructional Textbook,0.669579746
"Timilty, James P. Middle School",EducSup Instructional Textbook,0.255347337
Madison Park Technical Vocational High School,EducSup Instructional Textbook,8.7409051
"Lyon, Mary K-8",EducSup Instructional Textbook,0.122534476
Brighton High School,EducSup Instructional Textbook,1.372899056
Orchard Gardens K-8,EducSup Instructional Textbook,2.183877003
"Grew, Henry Elementary School",EducSup Instructional Textbook,0.421772634
Boston Community Leadership Academy,EducSup Instructional Textbook,0.797923537
Boston Arts Academy,EducSup Instructional Textbook,0.738913402
"Blackstone, William Elementary School",EducSup Instructional Textbook,0.134470803
Mattahunt Elementary School,EducSup Instructional Textbook,0.321817458
"Frederick, Lilla G. Middle School",EducSup Instructional Textbook,2.083011364
"Dever, Paul A. Elementary School",EducSup Instructional Textbook,1.800788672
"Irving, Washington Middle School",EducSup Instructional Textbook,0.034563018
Boston Latin School,EducSup Instructional Textbook,0.968884854
Charlestown High School,EducSup Instructional Textbook,0.231125642
"English High, The",EducSup Instructional Textbook,1.042171542
Rogers Middle School,EducSup Instructional Textbook,1.2950267
"Hennigan, James W. K-8",EducSup Instructional Textbook,0.08320475
Boston International Newcomers Academy,EducSup Instructional Textbook,0.893347457
"Bradley, Manassah E. Elementary School",EducSup Instructional Textbook,4.805120369
Urban Science Academy,EducSup Instructional Textbook,0.044785487
"Trotter, William Monroe K-8",EducSup Instructional Textbook,0.194005502
Lee Academy at the Fifield,EducSup Instructional Textbook,1.944644197
