School,Address,Lat,Lon,Students,Type,Grades
"Adams, Samuel Elementary School","165 Webster St East Boston, MA 02128",42.365553,-71.0349174,302,Elementary School,Elementary: Pre-K to 6
"Alighieri, Dante Montessori School","37 Gove Street East Boston, MA 02128",42.3715652,-71.037608,90,Elementary School,Elementary: Pre-K to 6
Another Course to College,"20 Warren Street Brighton, MA 02135",42.3503536,-71.1455821,237,High School,High Schools: 9 to 12
Baldwin Early Learning Pilot Academy,"121 Corey Rd Brighton, MA 02135",42.3420369,-71.1405292,142,Early Learning,Elementary: Pre-K to 6
"Bates, Phineas Elementary School","426 Beech St Roslindale, MA 02131",42.277663,-71.1353531,297,Elementary School,Elementary: Pre-K to 6
"Beethoven, Ludwig Van Elementary School","5125 Washington St West Roxbury, MA 02132",42.26352,-71.155824,342,Elementary School,Elementary: Pre-K to 6
"Blackstone, William Elementary School","380 Shawmut Ave Boston, MA 02118",42.3410123,-71.0720558,595,Elementary School,Elementary: Pre-K to 6
Boston Adult Technical Academy,"20 Church Street Boston, MA 02116",42.3488158,-71.0682117,170,Special,High Schools: 9 to 12
Boston Arts Academy,"174 Ipswich St Boston, MA 02215",42.3461819,-71.0949741,437,High School,High Schools: 9 to 12
Boston Community Leadership Academy,"655 Metropolitan Av Hyde Park, MA 02136",42.262789,-71.11792,506,High School,High Schools: 9 to 12
Boston Day & Evening Academy,"20 Kearsarge Avenue, Roxbury 02119",42.3269068,-71.0817247,400,Special,High Schools: 9 to 12
Boston Green Academy,"20 Warren Street Brighton, MA 02135",42.3503536,-71.1455821,437,High School,High Schools: 7 to 12
Boston International Newcomers Academy,"100 Maxwell St Dorchester, MA 02124",42.281211,-71.0808629,375,High School,High Schools: 9 to 12
Boston Latin Academy,"205 Townsend St Dorchester, MA 02121",42.316207,-71.0845329,1718,High School,High Schools: 7 to 12
Boston Latin School,"78 Louis Pasteur Avenue Boston, MA 02115",42.3379623,-71.1013227,2439,High School,High Schools: 7 to 12
Boston Teachers Union K-8 School,"25 Walk Hill St Jamaica Plain, MA 02130",42.294662,-71.116,326,K-8,Elementary: Pre-K to 8
"Bradley, Manassah E. Elementary School","110 Beachview Rd East Boston, MA 02128",42.3916287,-71.0050532,309,Elementary School,Elementary: Pre-K to 6
Brighton High School,"25 Warren St Brighton, MA 02135",42.34901,-71.1454665,931,High School,High Schools: 9 to 12
"Burke, Jeremiah E. High School","60 Washington St Dorchester, MA 02121",42.3071524,-71.081162,532,High School,High Schools: 9 to 12
Carter Development Center,"396 Northampton St Boston, MA 02118",42.3404636,-71.0830734,28,Special,High Schools: 7 to 12
"Channing, William E. Elementary School","35 Sunnyside St Hyde Park, MA 02136",42.251551,-71.133338,292,Elementary School,Elementary: Pre-K to 6
Charlestown High School,"240 Medford St Charlestown, MA 02129",42.380076,-71.061094,958,High School,High Schools: 9 to 12
"Chittick, James J. Elementary School","154 Ruskindale Rd Mattapan, MA 02126",42.26739,-71.104443,310,Elementary School,Elementary: Pre-K to 6
Clap Innovation School,"35 Harvest Street, Dorchester",42.3230799,-71.0585048,158,Elementary School,Elementary: Pre-K to 6
Community Academy,"25 Glen Road, Jamaica Plain",42.3089352,-71.1034659,40,Special,High Schools: 9 to 12
Community Academy of Science & Health,"11 Charles St Dorchester, MA 02122",42.3009137,-71.0619253,414,High School,High Schools: 9 to 12
"Condon, James F. Elementary School","200 D St South Boston, MA 02127",42.3381626,-71.0525141,837,Elementary School,Elementary: Pre-K to 6
"Conley, George H. Elementary School","450 Poplar St Roslindale, MA 02131",42.2746039,-71.1273159,220,Elementary School,Elementary: Pre-K to 6
Curley K-8 (Lower School),"40 Pershing Rd Jamaica Plain, MA 02130",42.3190749,-71.1140772,632,K-8,Elementary: Pre-K to 8
Curley K-8 (Upper School),"493 Centre Street, Jamaica Plain",42.3185498,-71.1136132,263,K-8,Elementary: Pre-K to 8
Dearborn STEM Academy,"35 Greenville Street Roxbury, MA",42.3264366,-71.0807872,262,High School,High Schools: 7 to 12
"Dever, Paul A. Elementary School","325 Mt Vernon St Dorchester, MA 02125",42.3175807,-71.0427667,498,Elementary School,Elementary: Pre-K to 6
Dickerman Elementary School,"206 Magnolia St, Dorchester, MA 02121",42.3113159,-71.073535,0,Elementary School,Not Assessed
Dorchester Academy,"11 Charles St. Dorchester, MA 02122",42.3009137,-71.0619253,69,High School,High Schools: 9 to 12
Dudley Street Neighborhood School,"6 Shirley St Roxbury, MA 02119",42.32364,-71.073134,292,Elementary School,Elementary: Pre-K to 6
East Boston Early Education Center,"135 Gove St East Boston, MA 02128",42.3697998,-71.0340688,184,Early Learning,Elementary: Pre-K to 6
East Boston High School,"86 White St East Boston, MA 02128",42.3809421,-71.035078,1495,High School,High Schools: 9 to 12
"Edison, Thomas A. K-8","60 Glenmont Rd Brighton, MA 02135",42.3455224,-71.1601606,765,K-8,Elementary: Pre-K to 8
"Edwards, Clarence R. Middle School","28 Walker St Charlestown, MA 02129",42.378634,-71.067379,366,Middle School,Middle Schools: 7 to 8
"Eliot, John K-8 (Lower School)","16 Charter St Boston, MA 02113",42.3660903,-71.053403,190,K-8,Elementary: Pre-K to 8
"Eliot, John K-8 (Upper School)","585 Commercial Street Boston, MA 02109",42.3678708,-71.0577992,327,K-8,Elementary: Pre-K to 8
"Eliot, John K-8 (Upper School) - (In Construction)","150 North Street Boston, MA 02109",42.3628918,-71.054542,0,K-8,Not Assessed
"Ellis, David A. Elementary School","302 Walnut Ave Roxbury, MA 02119",42.3169018,-71.0922888,444,Elementary School,Elementary: Pre-K to 6
Ellison/Parks Early Education School,"108 Babson St Mattapan, MA 02126",42.2717653,-71.0916852,189,Early Learning,Elementary: Pre-K to 6
Endicott,"2 McLellan St, Boston, MA 02121",42.3012518,-71.0856937,0,Elementary School,Not Assessed
"English High, The","144 McBride St Jamaica Plain, MA 02130",42.3065838,-71.1092285,586,High School,High Schools: 9 to 12
"Everett, Edwards Elementary School","71 Pleasant St Dorchester, MA 02125",42.3136206,-71.0597932,275,Elementary School,Elementary: Pre-K to 6
Excel High School,"95 G St South Boston, MA 02127",42.3329047,-71.0448291,519,High School,High Schools: 9 to 12
Fenway High School,"67 Alleghany Street Boston, MA 02120",42.3306688,-71.0993011,337,High School,High Schools: 9 to 12
"Frederick, Lilla G. Middle School","270 Columbia Rd Dorchester, MA 02121",42.3091746,-71.0755999,472,Middle School,Middle Schools: 7 to 8
Gardner Pilot Academy K-8,"30 Athol St Allston, MA 02134",42.360779,-71.133957,368,K-8,Elementary: Pre-K to 8
Greater Egleston Community High School,"80 School St Roxbury, MA 02119",42.3141318,-71.0992791,182,High School,High Schools: 9 to 12
"Greenwood, Elihu Leadership Academy","612 Metropolitan Ave Hyde Park, MA 02136",42.2653839,-71.1174871,0,High School,Not Assessed
"Greenwood, Sarah K-8",189 Glenway Street,42.2965967,-71.0806571,0,K-8,Elementary: Pre-K to 8
"Grew, Henry Elementary School","40 Gordon Ave Hyde Park, MA 02136",42.2568107,-71.127231,262,Elementary School,Elementary: Pre-K to 6
"Guild, Curtis Elementary School","5 Ashley Street/195 Leyden St East Boston, MA 02128",42.388678,-71.0042563,338,Elementary School,Elementary: Pre-K to 6
"Hale, Nathan Elementary School","51 Cedar St Roxbury, MA 02119",42.3251751,-71.0911723,169,Elementary School,Elementary: Pre-K to 6
"Haley K - 8, Dennis","570 Amer Legion Hwy Roslindale, MA 02131",42.286377,-71.107826,452,K-8,Elementary: Pre-K to 8
"Hamilton, Alexander","198 Strathmore Road, Brighton",42.3401102,-71.1547061,0,Elementary School,Not Assessed
Harvard/Kent Elementary School,"50 Bunker Hill St Charlestown, MA 02129",42.3769387,-71.0575946,520,Elementary School,Elementary: Pre-K to 6
Haynes Early Education Center,"263 Blue Hill Ave Roxbury, MA 02119",42.3151445,-71.0789471,175,Early Learning,Elementary: Pre-K to 6
"Henderson, Dr. William W. Inclusion (Lower School)","1669 Dorchester Ave Dorchester, MA 02122",42.2937925,-71.0620708,217,Elementary School,Elementary: Pre-K to 6
"Henderson, Dr. William W. Inclusion (Upper School)","18 Croftland Avenue Dorchester, MA 02124",42.2809387,-71.0697434,431,High School,High Schools: 7 to 12
"Hennigan, James W. K-8","200 Heath St Jamaica Plain, MA 02130",42.326026,-71.106821,624,K-8,Elementary: Pre-K to 8
"Hernandez, Rafael K-8","61 School St Roxbury, MA 02119",42.3139281,-71.0978418,399,K-8,Elementary: Pre-K to 8
Higginson Elementary School,"160 Harrishof Street Roxbury, MA 02119",42.3176768,-71.0915748,186,Elementary School,Elementary: Pre-K to 6
