School,Year,Total
"Beethoven, Ludwig Van Elementary School",2014,16787.15
"Beethoven, Ludwig Van Elementary School",2017,12342.73
"Beethoven, Ludwig Van Elementary School",2015,22541.35
"Beethoven, Ludwig Van Elementary School",2016,49118.5
"Beethoven, Ludwig Van Elementary School",2012,43068.67
"Beethoven, Ludwig Van Elementary School",2013,21792.48
"Kennedy, John F Elementary School",2014,135534.89
"Kennedy, John F Elementary School",2017,18500.61
"Kennedy, John F Elementary School",2015,101068.82
"Kennedy, John F Elementary School",2016,175197.37
"Kennedy, John F Elementary School",2012,207339.89
"Kennedy, John F Elementary School",2013,296664.34
"Philbrick, John D. Elementary School",2014,43002.54
"Philbrick, John D. Elementary School",2017,299.7
"Philbrick, John D. Elementary School",2015,1609.56
"Philbrick, John D. Elementary School",2016,6586.12
"Philbrick, John D. Elementary School",2012,92516.43
"Philbrick, John D. Elementary School",2013,42459.89
Community Academy,2014,22468.93
Community Academy,2017,345.82
Community Academy,2015,35931.8
Community Academy,2016,19220.9
Community Academy,2012,33667.78
Community Academy,2013,36903.36
Mildred Avenue K-8,2014,44359.83
Mildred Avenue K-8,2017,3075.98
Mildred Avenue K-8,2015,45011.55
Mildred Avenue K-8,2016,83455.3
Mildred Avenue K-8,2012,64589.1
Mildred Avenue K-8,2013,36437.55
"Kenny, Thomas J. Elementary School",2014,69865.54
"Kenny, Thomas J. Elementary School",2017,9518.68
"Kenny, Thomas J. Elementary School",2015,119497.96
"Kenny, Thomas J. Elementary School",2016,38111.7
"Kenny, Thomas J. Elementary School",2012,24815.23
"Kenny, Thomas J. Elementary School",2013,44348.87
West Roxbury Academy,2014,65629.65
West Roxbury Academy,2017,5143.51
West Roxbury Academy,2015,83823.35
West Roxbury Academy,2016,108788.96
West Roxbury Academy,2012,132410.87
West Roxbury Academy,2013,90641.23
"Perkins, Michael J. Elementary School",2014,64559.12
"Perkins, Michael J. Elementary School",2017,35226.35
"Perkins, Michael J. Elementary School",2015,32633.49
"Perkins, Michael J. Elementary School",2016,23056.93
"Perkins, Michael J. Elementary School",2012,38817.86
"Perkins, Michael J. Elementary School",2013,11343.08
Fenway High School,2014,6167.36
Fenway High School,2017,12058.89
Fenway High School,2015,15137.86
Fenway High School,2016,112032.15
Fenway High School,2012,32724.58
Fenway High School,2013,30842.03
"O'Bryant, John D. School of Mathematics & Science",2014,147026.22
"O'Bryant, John D. School of Mathematics & Science",2017,3583.92
"O'Bryant, John D. School of Mathematics & Science",2015,137907.56
"O'Bryant, John D. School of Mathematics & Science",2016,244907.3
"O'Bryant, John D. School of Mathematics & Science",2012,104850.45
"O'Bryant, John D. School of Mathematics & Science",2013,186804.71
"Quincy, Josiah Upper School",2014,508497.03
"Quincy, Josiah Upper School",2017,141156.64
"Quincy, Josiah Upper School",2015,141301.48
"Quincy, Josiah Upper School",2016,238454.8
"Quincy, Josiah Upper School",2012,221684.28
"Quincy, Josiah Upper School",2013,322431.19
Higginson Elementary School,2015,56873.43
Higginson Elementary School,2017,10724.43
Higginson Elementary School,2014,24989.96
Higginson Elementary School,2016,35494.07
"Tobin, Maurice J. K-8",2014,57931.01
"Tobin, Maurice J. K-8",2017,5634.13
"Tobin, Maurice J. K-8",2015,71632.38
"Tobin, Maurice J. K-8",2016,97051.76
"Tobin, Maurice J. K-8",2012,70033.34
"Tobin, Maurice J. K-8",2013,53100.67
UP Academy Holland,2015,780485
UP Academy Holland,2016,800965.29
"Hernandez, Rafael K-8",2014,37177.02
"Hernandez, Rafael K-8",2017,15369.18
"Hernandez, Rafael K-8",2015,65612.74
"Hernandez, Rafael K-8",2016,37804.96
"Hernandez, Rafael K-8",2012,29482.92
"Hernandez, Rafael K-8",2013,28795.55
Mather Elementary School,2014,27941.91
Mather Elementary School,2017,5558.2
Mather Elementary School,2015,21568.57
Mather Elementary School,2016,49090.91
Mather Elementary School,2012,26866.81
Mather Elementary School,2013,14111.89
"Haley K - 8, Dennis",2014,134855.6
"Haley K - 8, Dennis",2017,6943.15
"Haley K - 8, Dennis",2015,108766.85
"Haley K - 8, Dennis",2016,164137.43
"Haley K - 8, Dennis",2012,224457.53
"Haley K - 8, Dennis",2013,162132.1
"Adams, Samuel Elementary School",2014,57802.17
"Adams, Samuel Elementary School",2017,8674.42
"Adams, Samuel Elementary School",2015,56288.59
"Adams, Samuel Elementary School",2016,72073.35
"Adams, Samuel Elementary School",2012,42090.33
"Adams, Samuel Elementary School",2013,48617.45
New Mission High School,2014,41037
New Mission High School,2017,42716.19
New Mission High School,2015,182764.61
New Mission High School,2016,93036.25
New Mission High School,2012,169335.57
New Mission High School,2013,244291.83
Clap Innovation School,2014,38238.33
Clap Innovation School,2017,8417.2
Clap Innovation School,2015,68739.67
Clap Innovation School,2016,34761.77
Clap Innovation School,2012,77267.37
Clap Innovation School,2013,100997.67
TechBoston Academy,2014,631355.45
TechBoston Academy,2017,18460.82
TechBoston Academy,2015,796995
TechBoston Academy,2016,186806.57
TechBoston Academy,2012,794800.18
TechBoston Academy,2013,493654.33
"Channing, William E. Elementary School",2014,59541.44
"Channing, William E. Elementary School",2017,28080.18
"Channing, William E. Elementary School",2015,36447.23
"Channing, William E. Elementary School",2016,279302.92
"Channing, William E. Elementary School",2012,42327.4
"Channing, William E. Elementary School",2013,22695.76
"Lyndon, Patrick K-8",2014,88078.32
"Lyndon, Patrick K-8",2017,38907.78
"Lyndon, Patrick K-8",2015,98005.97
"Lyndon, Patrick K-8",2016,64187
"Lyndon, Patrick K-8",2012,268515.99
"Lyndon, Patrick K-8",2013,77834.57
"O'Donnell, Hugh R. Elementary School",2014,93358.85
"O'Donnell, Hugh R. Elementary School",2017,15732.42
"O'Donnell, Hugh R. Elementary School",2015,39136.21
"O'Donnell, Hugh R. Elementary School",2016,47584.03
"O'Donnell, Hugh R. Elementary School",2012,60156.52
"O'Donnell, Hugh R. Elementary School",2013,48395.51
"Timilty, James P. Middle School",2014,48781.77
"Timilty, James P. Middle School",2017,34392.56
"Timilty, James P. Middle School",2015,46280.74
"Timilty, James P. Middle School",2016,57978.28
"Timilty, James P. Middle School",2012,262851.21
"Timilty, James P. Middle School",2013,142335.5
Madison Park Technical Vocational High School,2014,891766.9
Madison Park Technical Vocational High School,2017,93780.09
Madison Park Technical Vocational High School,2015,557078.59
Madison Park Technical Vocational High School,2016,694770.86
Madison Park Technical Vocational High School,2012,227661.88
Madison Park Technical Vocational High School,2013,263036.96
"Lyon, Mary K-8",2014,44721.43
"Lyon, Mary K-8",2017,3984.52
"Lyon, Mary K-8",2015,40222.51
"Lyon, Mary K-8",2016,18743.32
"Lyon, Mary K-8",2012,76268.91
"Lyon, Mary K-8",2013,30048.24
"Alighieri, Dante Montessori School",2015,87908.32
"Alighieri, Dante Montessori School",2017,9914.58
"Alighieri, Dante Montessori School",2016,10068.82
"Condon, James F. Elementary School",2014,116674.47
"Condon, James F. Elementary School",2017,38945.67
"Condon, James F. Elementary School",2015,70602.9
"Condon, James F. Elementary School",2016,121022.46
"Condon, James F. Elementary School",2012,36216.33
"Condon, James F. Elementary School",2013,58642.24
Brighton High School,2014,224615.84
Brighton High School,2017,39100.78
